League,Year,Decade,RS,RA,RD,W,OBP,SLG,BA,Playoffs,G,OOBP,OSLG
0,1966,1960,574,517,57,83,0.297,0.331,0.231,0,163,,
1,1966,1960,692,702,-10,76,0.309,0.395,0.26,0,160,,
0,1966,1960,574,586,-12,81,0.297,0.36,0.237,0,162,,
0,1966,1960,719,698,21,88,0.321,0.406,0.251,0,162,,
1,1966,1960,612,695,-83,72,0.318,0.365,0.255,0,163,,
0,1966,1960,564,648,-84,74,0.294,0.337,0.236,0,160,,
1,1966,1960,606,490,116,95,0.314,0.362,0.256,1,162,,
0,1966,1960,663,581,82,89,0.316,0.382,0.249,0,162,,
1,1966,1960,587,761,-174,66,0.301,0.342,0.239,0,161,,
0,1966,1960,611,612,-1,70,0.299,0.374,0.235,0,160,,
1,1966,1960,696,640,56,87,0.322,0.378,0.258,0,162,,
1,1966,1960,759,641,118,92,0.329,0.428,0.279,0,162,,
1,1966,1960,675,626,49,93,0.303,0.392,0.248,0,161,,
1,1966,1960,571,577,-6,83,0.298,0.368,0.251,0,162,,
0,1966,1960,557,659,-102,71,0.295,0.355,0.234,0,159,,
0,1965,1960,641,578,63,94,0.307,0.363,0.238,0,162,,
0,1965,1960,669,791,-122,62,0.327,0.4,0.251,0,162,,
0,1965,1960,527,569,-42,75,0.297,0.341,0.239,0,162,,
1,1965,1960,635,723,-88,72,0.307,0.358,0.238,0,164,,
0,1965,1960,647,555,92,95,0.315,0.364,0.246,0,162,,
1,1965,1960,825,704,121,89,0.339,0.439,0.273,0,162,,
0,1965,1960,663,613,50,87,0.315,0.379,0.25,0,162,,
0,1965,1960,680,602,78,89,0.312,0.374,0.238,0,162,,
1,1965,1960,569,711,-142,65,0.305,0.34,0.237,0,162,,
0,1965,1960,585,755,-170,59,0.309,0.358,0.24,0,162,,
1,1965,1960,608,521,87,97,0.312,0.335,0.245,1,162,,
0,1965,1960,774,600,174,102,0.324,0.399,0.254,1,162,,
1,1965,1960,708,633,75,86,0.31,0.416,0.256,0,162,,
1,1965,1960,495,752,-257,50,0.277,0.327,0.221,0,164,,
0,1965,1960,611,604,7,77,0.299,0.364,0.235,0,162,,
1,1965,1960,654,667,-13,85,0.313,0.384,0.25,0,162,,
1,1965,1960,675,580,95,90,0.317,0.382,0.265,0,163,,
1,1965,1960,682,593,89,95,0.313,0.385,0.252,0,163,,
1,1965,1960,707,674,33,80,0.314,0.371,0.254,0,162,,
0,1965,1960,591,721,-130,70,0.304,0.35,0.228,0,162,,
0,1964,1960,679,567,112,97,0.316,0.387,0.248,0,163,,
0,1964,1960,688,793,-105,72,0.322,0.416,0.258,0,162,,
1,1964,1960,649,724,-75,76,0.314,0.39,0.251,0,162,,
0,1964,1960,642,501,141,98,0.32,0.353,0.247,0,162,,
1,1964,1960,660,566,94,92,0.308,0.372,0.249,0,163,,
0,1964,1960,689,693,-4,79,0.312,0.38,0.247,0,164,,
0,1964,1960,699,678,21,85,0.319,0.395,0.253,0,163,,
1,1964,1960,495,628,-133,66,0.285,0.315,0.229,0,162,,
0,1964,1960,621,836,-215,57,0.311,0.379,0.239,0,163,,
0,1964,1960,544,551,-7,82,0.304,0.344,0.242,0,162,,
1,1964,1960,614,572,42,80,0.305,0.34,0.25,0,164,,
0,1964,1960,737,678,59,79,0.322,0.427,0.252,0,163,,
1,1964,1960,803,744,59,88,0.333,0.418,0.272,0,162,,
1,1964,1960,569,776,-207,53,0.296,0.348,0.246,0,163,,
0,1964,1960,730,577,153,99,0.317,0.387,0.253,1,164,,
1,1964,1960,693,632,61,92,0.315,0.391,0.258,0,162,,
1,1964,1960,663,636,27,80,0.315,0.389,0.264,0,162,,
1,1964,1960,656,587,69,90,0.31,0.382,0.246,0,162,,
1,1964,1960,715,652,63,93,0.324,0.392,0.272,1,162,,
0,1964,1960,578,733,-155,62,0.299,0.348,0.231,0,162,,
0,1963,1960,644,621,23,86,0.31,0.38,0.249,0,162,,
0,1963,1960,666,704,-38,76,0.312,0.4,0.252,0,161,,
1,1963,1960,570,578,-8,82,0.297,0.363,0.238,0,162,,
0,1963,1960,683,544,139,94,0.323,0.365,0.25,0,162,,
1,1963,1960,648,594,54,86,0.31,0.371,0.246,0,162,,
0,1963,1960,635,702,-67,79,0.301,0.381,0.239,0,162,,
0,1963,1960,700,703,-3,79,0.327,0.382,0.252,0,162,,
1,1963,1960,464,640,-176,66,0.283,0.301,0.22,0,162,,
0,1963,1960,615,704,-89,73,0.313,0.353,0.247,0,162,,
0,1963,1960,597,660,-63,70,0.309,0.354,0.25,0,161,,
1,1963,1960,640,550,90,99,0.309,0.357,0.251,1,163,,
0,1963,1960,767,602,165,91,0.325,0.43,0.255,0,161,,
1,1963,1960,677,603,74,84,0.312,0.37,0.244,0,163,,
1,1963,1960,501,774,-273,51,0.285,0.315,0.219,0,162,,
0,1963,1960,714,547,167,104,0.309,0.403,0.252,1,161,,
1,1963,1960,642,578,64,87,0.306,0.381,0.252,0,162,,
1,1963,1960,567,595,-28,74,0.309,0.359,0.25,0,162,,
1,1963,1960,725,641,84,88,0.316,0.414,0.258,0,162,,
1,1963,1960,747,628,119,93,0.326,0.403,0.271,0,162,,
0,1963,1960,578,812,-234,56,0.293,0.351,0.227,0,162,,
0,1962,1960,652,680,-28,77,0.314,0.387,0.248,0,162,,
0,1962,1960,707,756,-49,76,0.324,0.403,0.258,0,160,,
1,1962,1960,632,827,-195,59,0.317,0.377,0.253,0,162,,
0,1962,1960,707,658,49,85,0.334,0.372,0.257,0,162,,
1,1962,1960,802,685,117,98,0.332,0.417,0.27,0,162,,
0,1962,1960,682,745,-63,80,0.312,0.388,0.245,0,162,,
0,1962,1960,758,692,66,85,0.33,0.411,0.248,0,161,,
1,1962,1960,592,717,-125,64,0.31,0.351,0.246,0,162,,
0,1962,1960,745,837,-92,72,0.332,0.386,0.263,0,162,,
0,1962,1960,718,706,12,86,0.325,0.38,0.25,0,162,,
1,1962,1960,842,697,145,102,0.337,0.4,0.268,0,165,,
0,1962,1960,798,713,85,91,0.338,0.412,0.26,0,163,,
1,1962,1960,730,665,65,86,0.326,0.403,0.252,0,162,,
1,1962,1960,617,948,-331,40,0.318,0.361,0.24,0,161,,
0,1962,1960,817,680,137,96,0.337,0.426,0.267,1,162,,
1,1962,1960,705,759,-54,81,0.33,0.39,0.26,0,161,,
1,1962,1960,706,626,80,93,0.321,0.394,0.268,0,161,,
1,1962,1960,878,690,188,103,0.341,0.441,0.278,1,165,,
1,1962,1960,774,664,110,84,0.335,0.394,0.271,0,163,,
0,1962,1960,599,716,-117,60,0.308,0.373,0.25,0,162,,
